School Name,Area Type,Gender,Caste,Standard,Age,Year,District,Dropout Status,Dropout Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
PES Public School,Semi-Urban,Male,OBC,3,8,2023,Bengaluru Urban,Dropout,Other,Secondary,25000,52.757,79.65,45.8,2.2
Jain International School,Rural,Male,ST,2,7,2020,Bengaluru Urban,Dropout,Child Labour,Higher Secondary,60000,52.757,79.65,45.7,1.92
Assisi Central School,Semi-Urban,Male,General,1,6,2022,Dharwad,Enrolled,Not applicable,Graduate,100000,67.74,90.125,42.9,1.28
Delhi Public School,Urban,Female,SC,1,6,2021,Mysuru,Dropout,Financial hardship,Primary,60000,52.757,74.91,24.4,1.51
Freedom International School,Semi-Urban,Male,OBC,1,6,2022,Dakshina Kannada,Enrolled,Not applicable,No Schooling,15000,67.74,90.125,40.7,1.67
Jain International School,Rural,Female,ST,8,13,2022,Ballari,Dropout,Health issues,Primary,10000,52.757,79.65,48.4,1.44
PES Public School,Urban,Female,SC,1,6,2018,Tumakuru,Enrolled,Not applicable,Secondary,10000,82.82,90.125,40.5,0.6
Mount Litera Zee School,Rural,Male,ST,6,11,2018,Bengaluru Urban,Dropout,Family Issues,Higher Secondary,25000,52.757,79.65,29.9,4.94
New Oxford School,Semi-Urban,Male,ST,9,14,2020,Shivamogga,Enrolled,Not applicable,Graduate,50000,67.74,90.125,35.0,2.11
Mount Litera Zee School,Urban,Female,ST,4,9,2021,Mysuru,Dropout,Other,No Schooling,50000,52.757,79.65,39.4,1.71
Maharishi Public School,Rural,Male,ST,3,8,2020,Shivamogga,Dropout,Long distance to school,Secondary,50000,52.757,79.65,35.3,1.82
New Oxford School,Rural,Male,OBC,7,12,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,15000,67.74,90.125,23.6,7.81
Assisi Central School,Semi-Urban,Male,SC,8,13,2024,Dakshina Kannada,Dropout,Bullying,Primary,10000,52.757,79.65,29.4,0.5
PES Public School,Semi-Urban,Female,SC,3,8,2024,Dharwad,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,44.1,2.03
National Public School,Rural,Male,General,10,15,2019,Shivamogga,Enrolled,Not applicable,Primary,50000,77.82,90.125,45.8,2.69
Jain International School,Urban,Male,General,3,8,2018,Bengaluru Urban,Dropout,Other,Graduate,10000,52.757,79.65,24.1,1.95
New Oxford School,Urban,Male,ST,4,9,2022,Shivamogga,Dropout,Child Labour,Primary,25000,52.757,69.64,48.6,1.08
Assisi Central School,Rural,Female,ST,4,9,2018,Bengaluru Rural,Dropout,Lack of interest,Secondary,60000,52.757,79.65,29.9,6.29
PES Public School,Rural,Female,OBC,10,15,2020,Belagavi,Dropout,Long distance to school,Higher Secondary,10000,52.757,79.65,39.9,8.56
Maharishi Public School,Semi-Urban,Female,OBC,10,15,2021,Ballari,Enrolled,Not applicable,Primary,10000,68.8,90.125,42.6,0.35
Mount Litera Zee School,Semi-Urban,Female,ST,7,12,2020,Ballari,Enrolled,Not applicable,Post-Graduate,10000,67.74,90.125,44.4,1.4
Maharishi Public School,Rural,Male,OBC,2,7,2023,Shivamogga,Dropout,Financial hardship,Post-Graduate,15000,52.757,79.65,48.4,6.15
National Public School,Rural,Male,General,3,8,2019,Ballari,Enrolled,Not applicable,Primary,50000,67.74,90.125,29.4,8.38
Maharishi Public School,Semi-Urban,Male,OBC,4,9,2019,Ballari,Enrolled,Not applicable,Secondary,10000,67.74,90.125,45.8,1.53
National Public School,Rural,Female,SC,7,12,2021,Dakshina Kannada,Dropout,Family responsibilities,Primary,10000,52.757,79.65,24.0,4.15
Mount Litera Zee School,Semi-Urban,Male,OBC,2,7,2023,Dakshina Kannada,Dropout,Financial hardship,Primary,50000,45.0,79.65,41.2,0.88
National Public School,Semi-Urban,Male,General,1,6,2024,Udupi,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,42.3,1.29
Jain International School,Urban,Female,General,7,12,2021,Belagavi,Enrolled,Not applicable,Secondary,15000,67.74,91.22,40.3,2.71
PES Public School,Semi-Urban,Female,ST,10,15,2018,Tumakuru,Dropout,Family responsibilities,Secondary,10000,52.757,79.65,27.6,2.7
PES Public School,Urban,Female,OBC,1,6,2018,Belagavi,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,46.2,2.09
Freedom International School,Rural,Female,ST,2,7,2020,Dakshina Kannada,Dropout,Migration,Primary,60000,52.757,79.65,25.1,6.23
Jain International School,Urban,Female,OBC,9,14,2021,Dakshina Kannada,Enrolled,Not applicable,Graduate,15000,69.52,100.0,21.6,0.36
Delhi Public School,Semi-Urban,Female,SC,2,7,2021,Ballari,Dropout,Health issues,Primary,15000,52.757,79.65,41.5,2.61
Jain International School,Rural,Female,ST,5,10,2018,Shivamogga,Dropout,Migration,No Schooling,10000,52.757,79.65,34.3,2.85
Mount Litera Zee School,Urban,Male,SC,1,6,2022,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,95.45,45.5,0.62
Assisi Central School,Rural,Male,ST,3,8,2018,Bengaluru Rural,Dropout,Health issues,Post-Graduate,10000,52.757,79.65,31.5,2.13
Assisi Central School,Rural,Male,ST,8,13,2018,Dakshina Kannada,Enrolled,Not applicable,Primary,15000,88.5,90.125,25.0,2.17
Jain International School,Rural,Female,SC,4,9,2020,Shivamogga,Dropout,Financial hardship,Higher Secondary,25000,52.757,79.65,45.1,7.09
New Oxford School,Rural,Male,ST,7,12,2023,Udupi,Enrolled,Not applicable,Higher Secondary,60000,67.74,100.0,36.5,8.73
Maharishi Public School,Rural,Male,General,10,15,2019,Ballari,Enrolled,Not applicable,Primary,60000,76.61,90.125,25.7,9.66
Freedom International School,Semi-Urban,Male,General,1,6,2019,Tumakuru,Dropout,Financial hardship,Higher Secondary,25000,52.757,79.65,41.6,0.96
Sri Taralabalu Central School,Semi-Urban,Female,General,9,14,2021,Udupi,Dropout,Long distance to school,Primary,15000,27.41,79.65,35.3,1.76
Mount Litera Zee School,Rural,Male,SC,7,12,2018,Bengaluru Urban,Dropout,Long distance to school,Secondary,25000,52.757,71.01,38.1,1.95
New Oxford School,Rural,Male,OBC,4,9,2023,Ballari,Dropout,Family Issues,Secondary,50000,51.97,79.65,33.8,8.32
New Oxford School,Rural,Male,OBC,7,12,2019,Shivamogga,Enrolled,Not applicable,Secondary,15000,67.74,90.125,44.9,6.21
National Public School,Semi-Urban,Female,OBC,10,15,2019,Tumakuru,Dropout,Financial hardship,No Schooling,25000,52.757,79.65,44.9,2.69
Jain International School,Urban,Male,OBC,10,15,2022,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,15000,67.74,93.85,41.3,2.29
PES Public School,Urban,Female,OBC,5,10,2023,Dakshina Kannada,Enrolled,Not applicable,Primary,15000,70.64,90.125,23.2,1.06
Maharishi Public School,Semi-Urban,Female,General,8,13,2023,Dakshina Kannada,Dropout,Health issues,Primary,10000,52.757,79.65,45.2,2.26
Mount Litera Zee School,Semi-Urban,Female,SC,8,13,2024,Dharwad,Dropout,Child Labour,No Schooling,25000,52.757,79.65,40.1,0.54
PES Public School,Semi-Urban,Male,General,10,15,2018,Belagavi,Enrolled,Not applicable,Secondary,50000,67.74,90.125,40.9,0.48
New Oxford School,Rural,Male,ST,7,12,2022,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,10000,71.08,90.125,30.9,8.66
Delhi Public School,Semi-Urban,Male,General,5,10,2018,Mysuru,Dropout,Other,No Schooling,100000,52.757,79.65,46.4,2.44
Delhi Public School,Urban,Female,OBC,5,10,2024,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,100.0,41.8,0.81
Delhi Public School,Semi-Urban,Female,OBC,9,14,2024,Ballari,Dropout,Health issues,Primary,50000,52.757,79.65,23.4,0.28
Mount Litera Zee School,Semi-Urban,Female,OBC,10,15,2018,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,95.11,32.2,0.48
Jain International School,Semi-Urban,Male,SC,10,15,2019,Dakshina Kannada,Dropout,Other,Primary,10000,52.757,79.65,46.6,2.59
Jain International School,Urban,Male,ST,8,13,2019,Shivamogga,Dropout,Poverty,Higher Secondary,15000,52.757,77.58,21.4,1.94
Maharishi Public School,Rural,Male,SC,6,11,2018,Shivamogga,Dropout,Family Issues,Primary,25000,52.757,79.65,48.8,2.5
Sri Taralabalu Central School,Rural,Male,ST,4,9,2024,Belagavi,Dropout,Health issues,Graduate,15000,52.757,79.65,40.4,7.41
Jain International School,Urban,Female,General,4,9,2021,Dharwad,Enrolled,Not applicable,No Schooling,10000,67.74,100.0,38.9,1.63
New Oxford School,Semi-Urban,Male,ST,7,12,2022,Belagavi,Enrolled,Not applicable,Primary,100000,67.74,90.63,28.1,2.0
Freedom International School,Urban,Female,ST,9,14,2021,Tumakuru,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,27.5,0.78
Freedom International School,Urban,Female,General,9,14,2022,Dharwad,Dropout,Lack of interest,Graduate,10000,52.757,79.65,48.3,2.61
Assisi Central School,Urban,Male,SC,1,6,2019,Mysuru,Enrolled,Not applicable,Graduate,60000,67.74,90.125,28.9,1.0
Sri Taralabalu Central School,Urban,Male,SC,7,12,2019,Shivamogga,Enrolled,Not applicable,Primary,25000,67.74,90.125,43.3,2.11
PES Public School,Semi-Urban,Female,ST,9,14,2018,Mysuru,Dropout,Child Labour,Higher Secondary,60000,43.98,79.65,31.8,0.15
Assisi Central School,Urban,Male,SC,6,11,2018,Mysuru,Enrolled,Not applicable,Higher Secondary,10000,74.25,100.0,24.2,1.18
PES Public School,Rural,Male,OBC,3,8,2019,Belagavi,Dropout,Health issues,Secondary,25000,52.757,79.65,20.3,9.21
Sri Taralabalu Central School,Rural,Male,OBC,8,13,2024,Bengaluru Rural,Dropout,Child Labour,Secondary,50000,52.757,79.65,36.3,2.32
New Oxford School,Urban,Male,OBC,2,7,2018,Shivamogga,Dropout,Lack of interest,Primary,15000,52.757,79.65,49.3,0.31
Delhi Public School,Semi-Urban,Male,ST,6,11,2018,Bengaluru Urban,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,31.1,2.39
New Oxford School,Urban,Male,SC,6,11,2022,Tumakuru,Enrolled,Not applicable,Graduate,10000,77.43,90.58,30.7,0.73
National Public School,Semi-Urban,Male,SC,5,10,2022,Udupi,Dropout,Family responsibilities,Graduate,50000,46.09,59.7,30.3,2.06
National Public School,Rural,Female,OBC,4,9,2022,Dharwad,Enrolled,Not applicable,Secondary,10000,67.74,90.125,35.6,6.34
Freedom International School,Rural,Female,SC,7,12,2019,Belagavi,Enrolled,Not applicable,Primary,25000,74.63,90.125,33.2,7.79
National Public School,Semi-Urban,Female,General,6,11,2021,Bengaluru Rural,Dropout,Financial hardship,Primary,60000,52.757,73.49,46.4,2.25
PES Public School,Semi-Urban,Male,OBC,1,6,2024,Shivamogga,Enrolled,Not applicable,Higher Secondary,100000,67.74,90.125,35.2,2.02
New Oxford School,Urban,Male,SC,4,9,2023,Dharwad,Enrolled,Not applicable,Graduate,100000,75.02,90.125,35.2,1.13
Jain International School,Rural,Female,General,7,12,2021,Ballari,Enrolled,Not applicable,Graduate,15000,67.74,100.0,24.2,9.86
New Oxford School,Semi-Urban,Female,SC,1,6,2018,Ballari,Dropout,Other,Higher Secondary,25000,52.757,79.65,49.5,0.95
